PATTERSON, JAMES & MARK SULLIVAN - PRIVATE BERLIN
PATTERSON, JAMES & MARSHALL KARP - NYPD RED
PATTERSON, JAMES & MAXINE PAETRO - 11TH HOUR
PATTERSON, JAMES & MAXINE PAETRO - 10th ANNIVERSARY
PATTERSON, JAMES & MAXINE PAETRO - 14th DEADLY SIN
PATTERSON, JAMES & MAXINE PAETRO - 15th AFFAIR
PATTERSON, JAMES & MAXINE PAETRO - 17TH SUSPECT
PATTERSON, JAMES & MAXINE PAETRO - 5th HORSEMAN
PATTERSON, JAMES & MAXINE PAETRO - 5th HORSEMAN
PATTERSON, JAMES & MAXINE PAETRO - SWIMSUIT
PATTERSON, JAMES & MICHAEL LEDWIDGE - ALERT
PATTERSON, JAMES & MICHAEL LEDWIDGE - I, MICHAEL BENNETT
PATTERSON, JAMES & MICHAEL LEDWIDGE - TICK TOCK
PATTERSON, JAMES & NANCY ALLEN - JUROR #3
PATTERSON, JAMES & RICHARD DELALLO - ALEX CROSS'S TRIAL
PATTERSON, JAMES & RICHARD DILALLO - THE MIDWIFE MURDERS
PATTERSON, JAMES & SHAN SERAFIN - THREE WOMEN DISAPPEAR
PATTERSON, JAMES & TUCKER AXUM - CAJUN JUSTICE
PATTERSON, RICHARD NORTH - DEVIL'S DELIGHT
PATTERSON,JAMES & MICHAEL LEDWIDGE - GONE
PAUL, GILL - ANOTHER WOMAN'S HUSBAND
PAUL, GILL - THE SECRET AFFAIR
PAUL, GILL - THE SECRET WIFE
PEARCE, A.J. - YOURS CHEERFULLY
PEARSE, LESLEY - GEORGIA
PEARSE, LESLEY - SECRETS
PEARSE, LESLEY - YOU'LL NEVER SEE ME AGAIN
PEARSON, ALLISON - I THINK I LOVE YOU
PEARSON, RIDLEY - CHOKE POINT
PEKKANEN, SARAH - THE PERFECT NEIGHBORS
PELLEGRINO, NICKY - A YEAR AT HOTEL GONDOLA
PERRY, CAROL - SEE SOMETHING
PERRY, CAROL J. - CAUGHT DEAD HANDED
PERRY, MICHAEL R. - THE STRANGER RETURNS
PERRY, TASMINA - GOLD DIGGERS
PERRY, TASMINA - THE LAST KISS GOODBYE
PERRY, THOMAS - STRIP
PERRY, THOMAS - THE OLD MAN
PETERS, ELIZABETH & JOAN HESS - THE PAINTED QUEEN
PETERS, GLYNIS - THE ORPHAN THIEF
PETRIE, NICK - THE WILD ONE
PETTREY, DANI - SUBMERGED
PHILLIPS, CARLY - HOT STUFF
PHILLIPS, CARLY - LUCKY BREAK
PHILLIPS, GIN - THE WELL AND THE MINE
PHILLIPS, SUSAN ELIZABETH - THE GREAT ESCAPE
PHILLIPS, SUSAN ELIZABETH - BREATHING ROOM
PHILLIPS, SUSAN ELIZABETH - CALL ME IRRESISTIBLE
PHILLIPS, SUSAN ELIZABETH - DANCE AWAY WITH ME
PHILLIPS, SUSAN ELIZABETH - NATURAL BORN CHARMER
PHILLIPS, SUSAN ELIZABETH - WHEN STARS COLLIDE
PICOULT, JODI - A SPARK OF LIGHT
PICOULT, JODI - PLAIN TRUTH
PICOULT, JODI & SAMANTHA VAN LEER - OFF THE PAGE
PINBOROUGH, SARAH - CROSS HER HEART
POEPPEL, AMY - SMALL ADMISSIONS
POINT, YVONNE - THE BEST OF TIME
POLAK, MONIQUE - SO MUCH IT HURTS
POLITES, TAYLOR M. - THE REBEL WIFE
POULSEN, DAVID A. - SERPENTS RISING
POWELL, JULIE - CLEAVING
POWERS, RICHARD - BEWILDERMENT
PRELLER, JAMES - BYSTANDER
PRESTON & CHILD - FEVER DREAM
PRESTON & CHILD - BLOODLESS
PRESTON & CHILD - BLUE LABYRINTH
PRESTON & CHILD - OLD BONES
PRESTON & CHILD - OLD BONES
PRICE, STEVEN - BY GASLIGHT
PROBST, JENNIFER - SEARCHING FOR BEAUTIFUL
PRYOR, MARK - THE SORBONNE AFFAIR
PULLINGER, KATE - THE MISTRESS OF NOTHING
PUTMAN, CARA C. - STARS IN THE NIGHT
PUTNEY, MARY JO - ONCE A SOLDER
PUTNEY, MARY JO - SOMETIMES A ROGUE
PUTNEY, MARY JO - TWIST OF FATE
QUICK, AMANDA - SECOND SIGHT
QUICK, AMANDA - THE THIRD CIRCLE
QUICK, AMANDA - WAIT UNTIL MIDNIGHT
QUICK, MATTHEW - SILVER LININGS
QUIGLEY, SARAH - THE CONDUCTOR
QUIGLEY, SHEILA - RUN F OR HOME
QUINN, ELLA - DESIRING LADY CARO
QUINN, JULIA - THE DUKE AND I
QUINN, PAULA - A HIGHLANDERS CHRISTMAS KISS
QUINN, SPENCER - TO FETCH A THIEF
RANKIN, IAN - THE NAMING OF THE DEATH
RANKIN, IAN - A QUESTION OF BLOOD - (LARGE PRINT)
RANKIN, IAN - EVEN DOGS IN THE WILD
RANKIN, IAN - IN A HOUSE OF LIES
RANKIN, IAN - REBUS THE LOST YEARS LET IT BLEEED, BLACK AND BLUE, THE HANGING GARDEN
RANKIN, IAN - STANDING IN ANOTHER MAN'S GRAVE
RANKIN, IAN - THE BEAT GOES ON
RASH, RON - BURNING BRIGHT
RASH, RON - SERENA
RAVEN, JAIME - THE MOTHER
RAY, CATE - GOOD HUSBANDS
RAYBOURN, DEANNA - DARK ROAD TO DARJEELING
RAYBURNN, DEANNA - CITY OF JASMINE
REDFERN, SUZANNE - NO ORDINARY LIFE
REDLAND, JESSICA - THE SECRET TO HAPPINESS
REDMERAI,J.A. - SONG OF THE FIREFLIES
REECE, CHRISTY - MERCILESS
REECE, CHRISTY - NOTHING TO LOSE
REECE, CHRISTY - RELENTLESS
REES, JOANNA - SHADE OF THE BLOSSOM TREE
REES, JOANNA - THE HIDDEN WIFE
REES, JOANNA - THE RUNWAY DAUGHTER
REES, TRACY -FLORENCE GRACE
REICH, KATHY - DEATH DU JOUR
REICH, KATHY - MONDAY MOURNING
REICHS, KATHY - BONES NEVER LIE
REICHS, KATHY - BARE BONES
REICHS, KATHY - BONES TO ASHES
REICHS, KATHY - BREAK NO BONES
REICHS, KATHY - FLASH AND BONES
REICHS, KATHY - SPIDER BONES
REISZ, TIFFANY - THE SIREN
RENDALL, RUTH - THE CROCODILE BIRD
