COX, JOSEPHINE - JINNIE
CRAIS, ROBERT - THE WATCHMAN
CRAM, BUFFY - RADIO BELLY
CRAWFORD, KIRSTY - THE SECRET LIFE OF HUSBANDS
CRICHTON, MCHAEL - DRAGON TEETH
CRICHTON, MICHAEL - STATE OF FEAR
CRICHTON, MICHAEL - THE ANDROMEDA EVOLUTION
CROFT, KATHRYN - THE OTHER HUSBAND
CROMBIE, DEBORAH - A SHARE IN DEATH/NOW MAY YOU SLEEP
CROSS, DONNA WOOLFORD - POPE JOAN
CRUMMEY, MICHAEL - THE INNOCENTS
CUMMING, CHARLES - A FOEIGN COUNTRY
CUNNING OLIVIA - WICKED BEAT
DALTON, JULE CARRICK - WAITING FOR THE NIGHT SONG
DAVID, PETER - FALL OF NIGHT
DAVIS, DEE - DARK DECEPTIONS
DAVIS, KRISTA - NOT A CREATURE WAS PURRING
DAWSON, LUCY - THE MEMORY
DAY, SYLVIA - AFTERBURN/AFTERSHOCK
DAY, SYLVIA - BUTTERFLIES IN FROST
DAY, SYLVIA - DON'T TEMPT ME
DE GRAMONT, NINA - THE CHRISTIE AFFAIR
de la MOTTE , ANDERS - GAME
de la MOTTE, ANDERS - THE MISSING INFORMANT
DE LINT, CHARLES - THE BLUE GIRL
DE LOS SANTOS, MARISA - BELONG TO ME
de ROSNAY, TATIANA - SARAH'S KEY
DE ROSNAY, TATIANA - THE HOUSE I LOVED
DEAN, ELLIE - HOMECOMING
DEAN, ELLIE - THERE'LL BE BLUE SKIES
DEAN, REBECCA - ENEMIES OF THE HEART
DEAN, REBECCA - THE GOLDEN PRINCE
DEAVER, JEFFREY - THE VANISHED MAN
DEAVER, JEFFERY - SOLITUDE CREEK
DEAVER, JEFFERY - THE STEEL KISS
DEAVER, JEFFREY - MORE TWISTED
DEAVER, JEFFREY - THE BURNING WIRE
DEAVER, JEFFREY - THE EMPTY CHAIR
DEAVER, JEFFREY - THE ROOM
DECANDIDO, KEITH R.R. - SUPERNATURAL NVERMORE
